round,seed,bucket,mlp,sim,diff
1,0,72.88,57.39,82.72,-15.49
1,1,77.77,82.62,82.99,4.85
1,2,75.78,62.42,82.00,-13.36
1,3,80.08,77.52,83.98,-2.56
1,4,72.70,51.77,81.62,-20.93
2,0,66.11,65.09,85.77,-1.02
2,1,74.66,79.89,86.77,5.24
2,2,72.03,79.09,85.78,7.06
2,3,72.28,68.32,85.02,-3.97
2,4,70.54,81.38,85.85,10.84
3,0,35.66,46.97,50.58,11.32
3,1,41.62,36.04,52.33,-5.58
3,2,40.30,39.84,51.47,-0.46
3,3,41.15,37.74,51.08,-3.41
3,4,37.66,33.51,50.35,-4.15
4,0,85.70,82.00,82.18,-3.70
4,1,87.01,81.80,86.50,-5.21
4,2,86.31,86.96,86.49,0.64
4,3,86.08,87.15,85.02,1.07
4,4,86.70,83.43,84.90,-3.28
5,0,77.17,78.93,76.95,1.77
5,1,75.42,74.06,77.08,-1.36
5,2,79.60,80.83,78.24,1.22
5,3,79.68,81.27,78.55,1.59
5,4,80.47,81.82,79.33,1.35
6,0,48.01,50.69,74.44,2.68
6,1,49.78,53.97,72.65,4.19
6,2,53.00,58.63,74.66,5.63
6,3,51.37,56.78,75.06,5.41
6,4,48.85,53.77,73.59,4.92
7,0,50.05,55.43,53.52,5.39
7,1,53.18,49.12,55.01,-4.06
7,2,55.47,57.23,55.99,1.77
7,3,52.20,54.56,53.15,2.36
7,4,57.17,52.70,57.82,-4.47
8,0,68.56,68.41,66.08,-0.15
8,1,63.64,71.13,63.98,7.49
8,2,69.94,65.83,70.10,-4.12
8,3,66.85,70.22,67.21,3.37
8,4,67.19,61.26,65.57,-5.93
9,0,,,,
9,1,,,,
9,2,,,,
9,3,,,,
9,4,,,,
1,avg,75.84,66.34,-9.50
2,avg,71.12,74.75,3.63
3,avg,39.28,38.82,-0.45
4,avg,86.36,84.27,-2.10
5,avg,78.47,79.38,0.92
6,avg,50.20,54.77,4.57
7,avg,53.61,53.81,0.20
8,avg,67.24,67.37,0.13
9,avg,,,
all,avg,65.27,64.94,-0.33
